lat,lon,temp_c,wind_ms,solar_wm2,precip_mm,water_dist_m,road_dist_m,building_dist_m,s_temperature,s_wind,s_solar,s_precipitation,s_water,s_road,s_land_cover,s_building,suitability,ml_suitability
-4.6200,37.6600,,,,,108430.8976,86712.4704,93411.7120,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4263
-4.6200,37.7600,,,,,104041.7297,80059.7666,86884.7734,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4263
-4.6200,37.8600,,,,,100248.4500,74474.7403,80521.5219,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4264
-4.6200,37.9600,,,,,97192.4910,70212.4292,74637.9698,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4265
-4.6200,38.0600,,,,,86157.9322,67523.5859,70030.6720,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4265
-4.6200,38.1600,,,,,75141.1665,66598.8875,64503.4206,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4264
-4.6200,38.2600,,,,,64151.1634,58122.3600,57444.5672,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4269
-4.6200,38.3600,,,,,53204.2993,48299.2524,49828.9330,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4270
-4.6200,38.4600,,,,,42333.8230,39161.1904,43124.4608,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4269
-4.6200,38.5600,,,,,31618.3599,31313.5146,38505.9352,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4271
-4.6200,38.6600,,,,,21292.9183,25954.1359,32072.7806,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4275
-4.6200,38.7600,,,,,12375.1852,24755.4449,23930.8461,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4272
-4.6200,38.8600,,,,,9949.0587,23157.8869,17841.3780,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4271
-4.6200,38.9600,,,,,17055.7794,13756.5278,12870.1483,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.3000,1.0000,0.3460,0.4258
-4.6200,39.0600,,,,,6344.7407,4257.4266,4170.2934,0.5000,0.5000,0.5000,0.5000,0.0000,0.6381,0.3000,1.0000,0.3843,0.4615
-4.6200,39.1600,,,,,2837.5258,876.2473,665.1131,0.5000,0.5000,0.5000,0.5000,0.0000,1.0000,0.4000,0.5814,0.2430,0.3292
-4.6200,39.2600,,,,,159.9762,5275.4791,4183.9183,0.5000,0.5000,0.5000,0.5000,1.0000,0.5249,1.0000,1.0000,0.6615,0.6798
-4.6200,39.3600,,,,,3745.3470,2268.4677,1270.9848,0.5000,0.5000,0.5000,0.5000,0.0000,0.8591,0.3000,1.0000,0.3975,0.4651
-4.6200,39.4600,,,,,4224.4499,5299.3100,5006.1961,0.5000,0.5000,0.5000,0.5000,0.0000,0.5223,0.3000,1.0000,0.3773,0.4565
-4.6200,39.5600,,,,,13010.0972,14005.1182,13480.0132,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.3000,1.0000,0.3460,0.4258
-4.6200,39.6600,,,,,23806.8616,23930.8710,23710.6100,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,1.0000,1.0000,0.4300,0.4759
-4.6200,39.7600,,,,,31689.6596,31633.6604,31521.6611,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,1.0000,1.0000,0.4300,0.4764
-4.6200,39.8600,,,,,40985.5613,40924.9820,40786.5785,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,1.0000,1.0000,0.4300,0.4758
-4.6200,39.9600,,,,,51005.7063,50943.1438,50784.2609,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,1.0000,1.0000,0.4300,0.4757
-4.6200,40.0600,,,,,61396.7045,61333.1963,61161.6289,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4270
-4.6200,40.1600,,,,,71998.3488,71934.3564,71754.3192,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4266
-4.6200,40.2600,,,,,82729.8741,82643.2638,82479.5904,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4263
-4.6200,40.3600,,,,,93026.2487,93106.7031,92917.4645,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.6200,40.4600,,,,,103346.4919,103313.7892,103151.1620,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4260
-4.6200,40.5600,,,,,113813.5593,113458.5835,113396.8623,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4260
-4.6200,40.6600,,,,,123622.1514,122641.8958,122575.2059,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4260
