lat,lon,temp_c,wind_ms,solar_wm2,precip_mm,elevation_m,water_dist_m,road_dist_m,building_dist_m,s_temperature,s_wind,s_solar,s_precipitation,s_water,s_road,s_land_cover,s_building,s_elevation,suitability,ml_suitability
-2.1200,33.9600,,,,,,14420.2584,109056.5541,112002.3411,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4184
-2.1200,34.0600,23.0394,0.9555,7.9696,161.7591,,25522.1121,102749.7790,106527.2610,1.0000,1.0000,0.2744,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4440,0.4303
-2.1200,34.1600,23.0192,0.9701,7.9172,159.1143,,36563.9617,95180.9052,101059.3136,1.0000,1.0000,0.2661,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4433,0.4298
-2.1200,34.2600,22.9889,0.9931,7.8740,157.2248,,47625.0595,88378.1111,95588.7577,1.0000,1.0000,0.2593,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4427,0.4292
-2.1200,34.3600,22.8678,1.0913,7.9141,162.1326,,58655.8949,82530.3624,90157.1918,1.0000,1.0000,0.2656,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4432,0.4308
-2.1200,34.4600,22.7468,1.1895,7.9542,167.0403,,66627.1810,77778.2404,85520.7551,1.0000,1.0000,0.2720,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4438,0.4325
-2.1200,34.5600,22.6626,1.3448,8.0311,164.5629,,63027.1389,73105.3549,81393.5326,1.0000,1.0000,0.2842,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4447,0.4347
-2.1200,34.6600,22.6029,1.5383,8.1325,157.1619,,61066.7821,68674.2746,75033.6701,1.0000,1.0000,0.3003,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4460,0.4388
-2.1200,34.7600,22.5128,1.7400,8.2388,151.3399,,59842.8466,59270.1201,69208.4272,1.0000,1.0000,0.3171,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4474,0.4404
-2.1200,34.8600,22.1491,2.0171,8.3889,159.7276,,58957.4281,49772.1137,64191.9150,1.0000,1.0000,0.3410,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4493,0.4463
-2.1200,34.9600,21.7855,2.2941,8.5389,168.1154,,53481.6458,41113.8051,57924.6406,1.0000,1.0000,0.3648,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4512,0.4473
-2.1200,35.0600,21.1905,2.6066,8.6843,179.1765,,48574.8120,33942.5417,52097.6243,1.0000,1.0000,0.3878,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4530,0.4493
-2.1200,35.1600,20.4413,2.9427,8.8265,192.0197,,41468.7699,29367.0541,46501.1926,1.0000,1.0000,0.4104,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4548,0.4497
-2.1200,35.2600,19.7284,3.2485,8.9692,204.3251,,32182.6889,28657.2557,41131.0281,0.9728,1.0000,0.4331,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4507,0.4515
-2.1200,35.3600,19.3429,3.2809,9.1155,211.7898,,24500.0764,32069.4978,35683.0874,0.9343,1.0000,0.4563,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4440,0.4526
-2.1200,35.4600,18.9574,3.3132,9.2618,219.2545,,20326.2895,27847.1556,30234.1517,0.8957,1.0000,0.4795,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4374,0.4551
-2.1200,35.5600,19.2322,3.0350,9.4454,224.9274,,21779.7101,19492.9659,24807.7668,0.9232,1.0000,0.5086,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4458,0.4578
-2.1200,35.6600,19.9472,2.5496,9.6540,229.4058,,16449.1411,15255.8959,19249.8729,0.9947,1.0000,0.5417,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4642,0.4635
-2.1200,35.7600,20.7938,2.0674,9.8548,229.0972,,5310.9083,12943.1197,14401.7158,1.0000,1.0000,0.5736,0.0000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4679,0.4666
-2.1200,35.8600,22.8255,1.6131,9.9864,185.7063,,3289.0754,8632.0373,8317.3638,1.0000,1.0000,0.5945,0.0000,0.0000,0.1520,1.0000,1.0000,0.5000,0.5836,0.5678
